skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
Firebase,1,1,0.011494252873563218,0.0001,114.94252873563218
Flow Assurance Engineer,1,1,0.011494252873563218,0.0001,114.94252873563218
Forbedringsarbeid,1,47,0.011494252873563218,0.0047,2.4455857177794083
Forhandling,1,78,0.011494252873563218,0.0078,1.4736221632773356
Forretningsutvikler,1,10,0.011494252873563218,0.001,11.494252873563218
Forretningsutvikling,6,151,0.06896551724137931,0.0151,4.567252797442338
Forsikring,7,68,0.08045977011494253,0.0068,11.832319134550373
Forsker,2,30,0.022988505747126436,0.003,7.662835249042145
Forskning,6,123,0.06896551724137931,0.0123,5.60695262125035
Forsvar,1,94,0.011494252873563218,0.0094,1.2227928588897041
Forsvaret,2,84,0.022988505747126436,0.0084,2.736726874657909
Frontend,1,23,0.011494252873563218,0.0023,4.997501249375312
Fullstack,1,16,0.011494252873563218,0.0016,7.183908045977011
Fysikk,1,9,0.011494252873563218,0.0009,12.77139208173691
GDPR,1,6,0.011494252873563218,0.0006,19.157088122605366
GRC,1,3,0.011494252873563218,0.0003,38.31417624521073
Geofysikk,1,4,0.011494252873563218,0.0004,28.735632183908045
Geolog,1,3,0.011494252873563218,0.0003,38.31417624521073
Governance,1,5,0.011494252873563218,0.0005,22.988505747126435
Graduate,13,24,0.14942528735632185,0.0024,62.260536398467444
Graduate program,1,2,0.011494252873563218,0.0002,57.47126436781609
Grafisk designer,1,5,0.011494252873563218,0.0005,22.988505747126435
HPC,1,2,0.011494252873563218,0.0002,57.47126436781609
Helse,1,1106,0.011494252873563218,0.1106,0.10392633701232566
Hjemmekontor,2,19,0.022988505747126436,0.0019,12.099213551119178
IKT,1,70,0.011494252873563218,0.007,1.6420361247947455
IT,10,174,0.11494252873563218,0.0174,6.605892456070816
IT-arkitekt,1,11,0.011494252873563218,0.0011,10.44932079414838
IT-arkitektur,1,19,0.011494252873563218,0.0019,6.049606775559589
IT-direktør,1,2,0.011494252873563218,0.0002,57.47126436781609
IT-konsulent,1,19,0.011494252873563218,0.0019,6.049606775559589
IT-leder,1,25,0.011494252873563218,0.0025,4.597701149425287
IT-sikkerhet,1,45,0.011494252873563218,0.0045,2.554278416347382
IT-strategi,1,1,0.011494252873563218,0.0001,114.94252873563218
Industri,1,433,0.011494252873563218,0.0433,0.2654561864564254
Industriell IT,2,5,0.022988505747126436,0.0005,45.97701149425287
Industriell automasjon,1,5,0.011494252873563218,0.0005,22.988505747126435
Industriell økonomi,1,3,0.011494252873563218,0.0003,38.31417624521073
Informasjonssikkerhet,3,58,0.034482758620689655,0.0058,5.945303210463734
Informatikk,4,11,0.04597701149425287,0.0011,41.79728317659352
Ingeniør,9,356,0.10344827586206896,0.0356,2.905850445563735
Innovasjon,3,38,0.034482758620689655,0.0038,9.074410163339383
Innsikt,1,3,0.011494252873563218,0.0003,38.31417624521073
Inspeksjonsingeniør,1,1,0.011494252873563218,0.0001,114.94252873563218
Integrasjoner,1,19,0.011494252873563218,0.0019,6.049606775559589
Integritet,1,1,0.011494252873563218,0.0001,114.94252873563218
Internrevisjon,1,5,0.011494252873563218,0.0005,22.988505747126435
Java,3,34,0.034482758620689655,0.0034,10.141987829614605
Juridisk rådgivning,2,34,0.022988505747126436,0.0034,6.76132521974307
KI,1,7,0.011494252873563218,0.0007,16.420361247947454
KI-ingeniør,2,2,0.022988505747126436,0.0002,114.94252873563218
KI-utvikler,1,1,0.011494252873563218,0.0001,114.94252873563218
Kantine,1,181,0.011494252873563218,0.0181,0.6350415952244871
Key Account Manager,1,28,0.011494252873563218,0.0028,4.105090311986864
Kjemi,1,31,0.011494252873563218,0.0031,3.7078235076010384
Kjemiingeniør,2,6,0.022988505747126436,0.0006,38.31417624521073
Kommersiell,1,15,0.011494252873563218,0.0015,7.662835249042145
Kommersiell rådgivning,1,1,0.011494252873563218,0.0001,114.94252873563218
